id,u_id,name,position,active,age,handedness,catches,contract_end,cap_hit,signed_nhl,date_birth,drafted,height,weight,nhl_rights_id,nationality_id,place_birth_id,id,player_id,regular_season,season_id,league_id,team_id,captaincy,gp,gd,gaa,svp,ga,svs,so,w,l,t,toi,id,nationality,id,season
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,148,51,1,44,7,145,,14,,2.95,,35,,0,5,5,1,711,3,Canada,44,1929-1930
52,165884,Arthur Brooks,G,0,,,R,,,0,1887-03-29,0,175,77,,3,41,171,52,0,32,7,144,,,,,,,,,,,,,3,Canada,32,1917-1918
52,165884,Arthur Brooks,G,0,,,R,,,0,1887-03-29,0,175,77,,3,41,172,52,1,32,7,144,,4,,6.27,,23,,0,2,2,0,220,3,Canada,32,1917-1918
53,190570,Sammy Hebert,G,0,,,R,,,0,1894-03-31,0,178,66,,3,16,189,53,0,32,7,144,,,,,,,,,,,,,3,Canada,32,1917-1918
53,190570,Sammy Hebert,G,0,,,R,,,0,1894-03-31,0,178,66,,3,16,190,53,1,32,7,144,,2,,7.5,,10,,0,1,0,0,80,3,Canada,32,1917-1918
53,190570,Sammy Hebert,G,0,,,R,,,0,1894-03-31,0,178,66,,3,16,201,53,0,38,7,57,,,,,,,,,,,,,3,Canada,38,1923-1924
53,190570,Sammy Hebert,G,0,,,R,,,0,1894-03-31,0,178,66,,3,16,202,53,1,38,7,57,,2,,4.5,,9,,0,1,1,0,120,3,Canada,38,1923-1924
54,190197,Bert Lindsay,G,0,,,R,,,0,1881-07-23,0,171,73,,3,42,241,54,0,32,7,170,,,,,,,,,,,,,3,Canada,32,1917-1918
54,190197,Bert Lindsay,G,0,,,R,,,0,1881-07-23,0,171,73,,3,42,242,54,1,32,7,170,,4,,8.75,,35,,0,1,3,0,240,3,Canada,32,1917-1918
54,190197,Bert Lindsay,G,0,,,R,,,0,1881-07-23,0,171,73,,3,42,243,54,0,33,7,144,,,,,,,,,,,,,3,Canada,33,1918-1919
54,190197,Bert Lindsay,G,0,,,R,,,0,1881-07-23,0,171,73,,3,42,244,54,1,33,7,144,,16,,5.09,,83,,0,5,11,0,978,3,Canada,33,1918-1919
78,192169,Ivan Mitchell,G,0,,,,,,0,1893-07-09,0,183,,,3,45,265,78,0,34,7,144,,,,,,,,,,,,,3,Canada,34,1919-1920
78,192169,Ivan Mitchell,G,0,,,,,,0,1893-07-09,0,183,,,3,45,266,78,1,34,7,144,,16,,4.34,,60,,0,6,7,0,830,3,Canada,34,1919-1920
78,192169,Ivan Mitchell,G,0,,,,,,0,1893-07-09,0,183,,,3,45,269,78,0,35,7,144,,,,,,,,,,,,,3,Canada,35,1920-1921
78,192169,Ivan Mitchell,G,0,,,,,,0,1893-07-09,0,183,,,3,45,270,78,1,35,7,144,,4,,5.5,,22,,0,2,2,0,240,3,Canada,35,1920-1921
78,192169,Ivan Mitchell,G,0,,,,,,0,1893-07-09,0,183,,,3,45,271,78,0,36,7,144,,,,,,,,,,,,,3,Canada,36,1921-1922
78,192169,Ivan Mitchell,G,0,,,,,,0,1893-07-09,0,183,,,3,45,272,78,1,36,7,144,,2,,3,,6,,0,2,0,0,120,3,Canada,36,1921-1922
79,155034,Frank Brophy,G,0,,,L,,,0,1900-08-09,0,168,68,,3,19,283,79,0,34,7,125,,,,,,,,,,,,,3,Canada,34,1919-1920
79,155034,Frank Brophy,G,0,,,L,,,0,1900-08-09,0,168,68,,3,19,284,79,1,34,7,125,,21,,7.11,,148,,0,3,18,0,1249,3,Canada,34,1919-1920
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,299,80,0,34,7,144,,,,,,,,,,,,,3,Canada,34,1919-1920
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,300,80,1,34,7,144,,5,,4.2,,21,,0,2,3,0,300,3,Canada,34,1919-1920
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,301,80,0,35,7,144,,2,,3.5,,7,,0,0,2,0,120,3,Canada,35,1920-1921
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,302,80,1,35,7,144,,20,,3.83,,78,,0,13,7,0,1221,3,Canada,35,1920-1921
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,303,80,0,37,7,127,,,,,,,,,,,,,3,Canada,37,1922-1923
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,304,80,1,37,7,127,,24,,4.49,,110,,0,6,18,0,1470,3,Canada,37,1922-1923
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,305,80,0,38,7,127,,,,,,,,,,,,,3,Canada,38,1923-1924
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,306,80,1,38,7,127,,24,,2.75,,68,,1,9,15,0,1483,3,Canada,38,1923-1924
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,307,80,0,39,7,127,,,,,,,,,,,,,3,Canada,39,1924-1925
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,308,80,1,39,7,127,,30,,1.96,,60,,6,19,10,1,1834,3,Canada,39,1924-1925
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,309,80,0,40,7,159,,,,,,,,,,,,,3,Canada,40,1925-1926
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,310,80,1,40,7,159,,36,,2.3,,86,,2,12,20,4,2240,3,Canada,40,1925-1926
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,311,80,0,41,7,159,,,,,,,,,,,,,3,Canada,41,1926-1927
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,312,80,1,41,7,159,,44,,2.01,,91,,8,17,25,2,2715,3,Canada,41,1926-1927
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,313,80,0,42,7,159,,,,,,,,,,,,,3,Canada,42,1927-1928
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,314,80,1,42,7,159,,16,,3.12,,51,,2,3,11,2,980,3,Canada,42,1927-1928
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,319,80,0,43,7,159,,,,,,,,,,,,,3,Canada,43,1928-1929
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,320,80,1,43,7,159,,1,,3,,3,,0,1,0,0,60,3,Canada,43,1928-1929
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,323,80,0,44,7,159,,,,,,,,,,,,,3,Canada,44,1929-1930
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,324,80,1,44,7,159,,1,,0.86,,1,,0,0,0,1,70,3,Canada,44,1929-1930
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,329,80,0,45,7,428,,,,,,,,,,,,,3,Canada,45,1930-1931
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,330,80,1,45,7,428,,2,,3.5,,7,,0,0,2,0,120,3,Canada,45,1930-1931
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,331,80,0,46,7,159,,,,,,,,,,,,,3,Canada,46,1931-1932
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,332,80,1,46,7,159,,6,,2.67,,16,,0,3,3,0,360,3,Canada,46,1931-1932
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,335,80,0,47,7,159,,,,,,,,,,,,,3,Canada,47,1932-1933
80,192171,Vernon Forbes,G,0,,,L,,,0,1897-07-04,0,168,64,,3,18,336,80,1,47,7,159,,1,,1.71,,2,,0,0,0,1,70,3,Canada,47,1932-1933
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,357,81,0,34,7,125,,,,,,,,,,,,,3,Canada,34,1919-1920
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,358,81,1,34,7,125,,1,,11,,11,,0,0,1,0,60,3,Canada,34,1919-1920
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,359,81,0,35,7,127,,,,,,,,,,,,,3,Canada,35,1920-1921
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,360,81,1,35,7,127,,24,,5.45,,132,,1,6,18,0,1454,3,Canada,35,1920-1921
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,361,81,0,36,7,127,,,,,,,,,,,,,3,Canada,36,1921-1922
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,362,81,1,36,7,127,,24,,4.39,,103,,0,6,17,0,1408,3,Canada,36,1921-1922
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,363,81,0,38,7,144,,,,,,,,,,,,,3,Canada,38,1923-1924
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,364,81,1,38,7,144,,1,,5,,5,,0,0,1,0,60,3,Canada,38,1923-1924
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,365,81,0,39,7,137,,,,,,,,,,,,,3,Canada,39,1924-1925
81,155039,Howard Lockhart,G,0,,,L,,,0,1895-03-21,0,173,82,,3,56,366,81,1,39,7,137,,2,,5.5,,11,,0,0,2,0,120,3,Canada,39,1924-1925
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,373,98,0,36,7,144,,2,,2,,4,,1,1,0,0,120,3,Canada,36,1921-1922
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,374,98,1,36,7,144,,22,,4.07,,91,,0,11,10,1,1340,3,Canada,36,1921-1922
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,375,98,0,37,7,144,,,,,,,,,,,,,3,Canada,37,1922-1923
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,376,98,1,37,7,144,,24,,3.59,,88,,1,13,10,1,1469,3,Canada,37,1922-1923
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,377,98,0,38,7,144,,,,,,,,,,,,,3,Canada,38,1923-1924
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,378,98,1,38,7,144,,23,,3.48,,80,,1,10,13,0,1380,3,Canada,38,1923-1924
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,379,98,0,39,7,144,,2,,2.5,,5,,0,0,2,0,120,3,Canada,39,1924-1925
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,380,98,1,39,7,144,,30,,2.8,,84,,1,19,11,0,1800,3,Canada,39,1924-1925
